system,metric,mean,std,sem
Ho-In-Mg-Pd-Zr,final/convex_hull_e_above_hull_max,0.2893142960563543,0.0211755973817015,0.009470015041930223
Ho-In-Mg-Pd-Zr,final/convex_hull_e_above_hull_mean,0.09180532509327916,0.00454333778432303,0.0020318424260979146
Ho-In-Mg-Pd-Zr,final/convex_hull_e_above_hull_min,0.0,0.0,0.0
Ho-In-Mg-Pd-Zr,final/convex_hull_e_above_hull_std,0.0652706649298639,0.0022551348201646456,0.0010085269512629823
Ho-In-Mg-Pd-Zr,final/convex_hull_energy_per_atom_max,-2.8719266096750897,0.4760319049310643,0.21288793977691542
Ho-In-Mg-Pd-Zr,final/convex_hull_energy_per_atom_mean,-5.059092159967574,0.13868951502574348,0.062023836672808176
Ho-In-Mg-Pd-Zr,final/convex_hull_energy_per_atom_min,-7.248820352100191,0.14187236940496756,0.06344725242369377
Ho-In-Mg-Pd-Zr,final/convex_hull_energy_per_atom_std,0.9715059947458327,0.11541976706401832,0.05161728902046726
Ho-In-Mg-Pd-Zr,final/convex_hull_formation_energy_per_atom_max,0.10079390472835943,0.02002364570482403,0.008954846590671642
Ho-In-Mg-Pd-Zr,final/convex_hull_formation_energy_per_atom_mean,-0.42055297632318334,0.032592859417837065,0.01457596984787558
Ho-In-Mg-Pd-Zr,final/convex_hull_formation_energy_per_atom_min,-0.9055822690327965,0.01864906714289269,0.008340116369693167
Ho-In-Mg-Pd-Zr,final/convex_hull_formation_energy_per_atom_std,0.26464287004335935,0.021688324579388976,0.009699313615518656
Ho-In-Mg-Pd-Zr,final/convex_hull_stable_count,28.0,2.280350850198276,1.019803902718557
Ho-In-Mg-Pd-Zr,final/convex_hull_stable_fraction,0.56,0.045607017003965515,0.020396078054371138
Ho-In-Mg-Pd-Zr,final/discovery_curve_acceleration_factor,0.0,0.0,0.0
Ho-In-Mg-Pd-Zr,final/discovery_curve_area_under_discovery_curve,461.7,89.87635951683846,40.19392988997219
Ho-In-Mg-Pd-Zr,final/discovery_curve_area_under_discovery_curve_normalized,0.36936,0.07190108761347076,0.03215514391197775
Ho-In-Mg-Pd-Zr,final/discovery_curve_enhancement_factor,0.0,0.0,0.0
Ho-In-Mg-Pd-Zr,final/discovery_efficiency,0.692,0.08158431221748455,0.03648561360317241
Ho-In-Mg-Pd-Zr,final/diversity_all_composition_l1_distance_max,2.0,0.0,0.0
Ho-In-Mg-Pd-Zr,final/diversity_all_composition_l1_distance_mean,0.9584246193715581,0.03997213516179708,0.017876082285517566
Ho-In-Mg-Pd-Zr,final/diversity_all_composition_l1_distance_min,0.0,0.0,0.0
Ho-In-Mg-Pd-Zr,final/diversity_all_composition_l1_distance_std,0.3929047917499461,0.017167347411202776,0.007677471160960888
Ho-In-Mg-Pd-Zr,final/diversity_all_composition_l2_distance_max,1.0981994908567496,0.07604877928493364,0.03401004801739789
Ho-In-Mg-Pd-Zr,final/diversity_all_composition_l2_distance_mean,0.5356945270853635,0.029099205298036675,0.013013560227526406
Ho-In-Mg-Pd-Zr,final/diversity_all_composition_l2_distance_min,0.0,0.0,0.0
Ho-In-Mg-Pd-Zr,final/diversity_all_composition_l2_distance_std,0.2013933905668825,0.015805388389147083,0.0070683845697837545
Ho-In-Mg-Pd-Zr,final/diversity_all_composition_unique_composition_count,33.2,0.9797958971132712,0.43817804600413285
Ho-In-Mg-Pd-Zr,final/diversity_all_composition_unique_composition_fraction,0.664,0.01959591794226544,0.008763560920082665
Ho-In-Mg-Pd-Zr,final/diversity_all_structure_amd_distance_max,2.0328572370160765,0.10892279887284559,0.048711756515844036
Ho-In-Mg-Pd-Zr,final/diversity_all_structure_amd_distance_mean,0.8392427635938097,0.025677056322669447,0.011483128679915931
Ho-In-Mg-Pd-Zr,final/diversity_all_structure_amd_distance_min,0.009782743355179946,0.003556660610080852,0.0015905869794073317
Ho-In-Mg-Pd-Zr,final/diversity_all_structure_lattice_parameter_variance,1.6248125724444988,0.17051531359716995,0.07625676648159324
Ho-In-Mg-Pd-Zr,final/diversity_all_structure_spacegroup_entropy,2.517580058065252,0.09706130162445353,0.04340713368337777
Ho-In-Mg-Pd-Zr,final/diversity_all_structure_unique_spacegroups_count,15.8,1.469693845669907,0.6572670690061994
Ho-In-Mg-Pd-Zr,final/diversity_all_structure_unique_spacegroups_fraction,0.316,0.029393876913398134,0.013145341380123984
Ho-In-Mg-Pd-Zr,final/diversity_all_structure_unique_structure_count,40.4,2.3323807579381204,1.043072384832424
Ho-In-Mg-Pd-Zr,final/diversity_all_structure_unique_structure_fraction,0.808,0.0466476151587624,0.020861447696648473
Ho-In-Mg-Pd-Zr,final/diversity_stable_composition_l1_distance_max,2.0,0.0,0.0
Ho-In-Mg-Pd-Zr,final/diversity_stable_composition_l1_distance_mean,1.0574601909267174,0.04678007705016067,0.020920686455367418
Ho-In-Mg-Pd-Zr,final/diversity_stable_composition_l1_distance_min,0.0,0.0,0.0
Ho-In-Mg-Pd-Zr,final/diversity_stable_composition_l1_distance_std,0.42207842950649654,0.02019938356989867,0.00903343895317716
Ho-In-Mg-Pd-Zr,final/diversity_stable_composition_l2_distance_max,1.0947989693269116,0.07829204428531417,0.035013266623877284
Ho-In-Mg-Pd-Zr,final/diversity_stable_composition_l2_distance_mean,0.6025280545889848,0.03805509356863543,0.017018755221916773
Ho-In-Mg-Pd-Zr,final/diversity_stable_composition_l2_distance_min,0.0,0.0,0.0
Ho-In-Mg-Pd-Zr,final/diversity_stable_composition_l2_distance_std,0.21540363809893384,0.019960277931575343,0.008926507660958273
Ho-In-Mg-Pd-Zr,final/diversity_stable_composition_unique_composition_count,22.6,1.7435595774162693,0.779743547584717
Ho-In-Mg-Pd-Zr,final/diversity_stable_composition_unique_composition_fraction,0.8078071274191962,0.02865032960774394,0.012812816916138066
Ho-In-Mg-Pd-Zr,final/diversity_stable_structure_amd_distance_max,2.0058720576119278,0.1522299970499321,0.06807932432364812
Ho-In-Mg-Pd-Zr,final/diversity_stable_structure_amd_distance_mean,0.9159894009610369,0.0292315647365416,0.013072753167918548
Ho-In-Mg-Pd-Zr,final/diversity_stable_structure_amd_distance_min,0.016530716318837513,0.012172774964254875,0.005443830458976294
Ho-In-Mg-Pd-Zr,final/diversity_stable_structure_lattice_parameter_variance,1.935486910677719,0.35042886849305405,0.15671655424576061
Ho-In-Mg-Pd-Zr,final/diversity_stable_structure_spacegroup_entropy,2.4089951867677994,0.17025631471355154,0.07614093865961977
Ho-In-Mg-Pd-Zr,final/diversity_stable_structure_unique_spacegroups_count,13.2,2.1354156504062622,0.9549869109050657
Ho-In-Mg-Pd-Zr,final/diversity_stable_structure_unique_spacegroups_fraction,0.47085175361037435,0.06441191518750654,0.028805884184043146
Ho-In-Mg-Pd-Zr,final/diversity_stable_structure_unique_structure_count,24.4,2.0591260281974,0.920869154657707
