system,metric,mean,std,sem
Co-Hg-Mg-Sr-W,final/convex_hull_e_above_hull_max,1.245576583014594,0.035371260936683885,0.01581850878086161
Co-Hg-Mg-Sr-W,final/convex_hull_e_above_hull_mean,0.45266907624902697,0.012061207023407917,0.0053939357590076
Co-Hg-Mg-Sr-W,final/convex_hull_e_above_hull_min,0.11546948825611802,0.009347659162707606,0.004180400263662594
Co-Hg-Mg-Sr-W,final/convex_hull_e_above_hull_std,0.2160997490547833,0.008244158584450628,0.0036868998024240087
Co-Hg-Mg-Sr-W,final/convex_hull_energy_per_atom_max,-1.4318301391601562,0.00011090589227509414,4.959862284647586e-05
Co-Hg-Mg-Sr-W,final/convex_hull_energy_per_atom_mean,-4.671654584664766,0.012062588959690194,0.005394553779701149
Co-Hg-Mg-Sr-W,final/convex_hull_energy_per_atom_min,-11.434130859375,0.008660032372902521,0.003872884214631769
Co-Hg-Mg-Sr-W,final/convex_hull_energy_per_atom_std,2.1051117044488072,0.003152204375780543,0.001409708652643517
Co-Hg-Mg-Sr-W,final/convex_hull_formation_energy_per_atom_max,1.245576583014594,0.03537126093668397,0.015818508780861648
Co-Hg-Mg-Sr-W,final/convex_hull_formation_energy_per_atom_mean,0.3423184422977266,0.01205879707071487,0.005392857995398757
Co-Hg-Mg-Sr-W,final/convex_hull_formation_energy_per_atom_min,-0.09890621970681576,0.03746544659693206,0.01675505707962565
Co-Hg-Mg-Sr-W,final/convex_hull_formation_energy_per_atom_std,0.24859123066493183,0.007283327935851456,0.0032572032733974164
Co-Hg-Mg-Sr-W,final/convex_hull_stable_count,0.2,0.4000000000000001,0.1788854381999832
Co-Hg-Mg-Sr-W,final/convex_hull_stable_fraction,0.004,0.008,0.003577708763999663
Co-Hg-Mg-Sr-W,final/discovery_curve_acceleration_factor,0.0,0.0,0.0
Co-Hg-Mg-Sr-W,final/discovery_curve_area_under_discovery_curve,5.3,10.6,4.740464112299554
Co-Hg-Mg-Sr-W,final/discovery_curve_area_under_discovery_curve_normalized,0.00424,0.00848,0.003792371289839643
Co-Hg-Mg-Sr-W,final/discovery_curve_enhancement_factor,0.0,0.0,0.0
Co-Hg-Mg-Sr-W,final/discovery_efficiency,1.0,0.0,0.0
Co-Hg-Mg-Sr-W,final/diversity_all_composition_l1_distance_max,2.0000000000000004,0.0,0.0
Co-Hg-Mg-Sr-W,final/diversity_all_composition_l1_distance_mean,1.1353613405261855,0.0,0.0
Co-Hg-Mg-Sr-W,final/diversity_all_composition_l1_distance_min,0.37500000000000006,0.0,0.0
Co-Hg-Mg-Sr-W,final/diversity_all_composition_l1_distance_std,0.38642031167577257,0.0,0.0
Co-Hg-Mg-Sr-W,final/diversity_all_composition_l2_distance_max,1.1727371828333917,0.0,0.0
Co-Hg-Mg-Sr-W,final/diversity_all_composition_l2_distance_mean,0.6254726614221076,0.0,0.0
Co-Hg-Mg-Sr-W,final/diversity_all_composition_l2_distance_min,0.2549509756796392,0.0,0.0
Co-Hg-Mg-Sr-W,final/diversity_all_composition_l2_distance_std,0.20392585536009347,0.0,0.0
Co-Hg-Mg-Sr-W,final/diversity_all_composition_unique_composition_count,50.0,0.0,0.0
Co-Hg-Mg-Sr-W,final/diversity_all_composition_unique_composition_fraction,1.0,0.0,0.0
Co-Hg-Mg-Sr-W,final/diversity_all_structure_amd_distance_max,2.994641326427769,0.03573058859040547,0.015979204992845
Co-Hg-Mg-Sr-W,final/diversity_all_structure_amd_distance_mean,0.979488734943628,0.007814033222886782,0.0034945418929633217
Co-Hg-Mg-Sr-W,final/diversity_all_structure_amd_distance_min,0.1497592017216002,0.011294256513838707,0.005050945064052628
Co-Hg-Mg-Sr-W,final/diversity_all_structure_lattice_parameter_variance,4.874328233559627,0.43723787687544163,0.19553872300623415
Co-Hg-Mg-Sr-W,final/diversity_all_structure_spacegroup_entropy,0.8635822264280856,0.04124304979761437,0.018444452589374934
Co-Hg-Mg-Sr-W,final/diversity_all_structure_unique_spacegroups_count,5.8,0.39999999999999997,0.17888543819998315
Co-Hg-Mg-Sr-W,final/diversity_all_structure_unique_spacegroups_fraction,0.11599999999999999,0.007999999999999995,0.003577708763999661
Co-Hg-Mg-Sr-W,final/diversity_all_structure_unique_structure_count,50.0,0.0,0.0
Co-Hg-Mg-Sr-W,final/diversity_all_structure_unique_structure_fraction,1.0,0.0,0.0
