system,metric,mean,std,sem
Co-Hg-Mg-Sr-W,final/convex_hull_e_above_hull_max,24.821113007971622,17.864772035877206,7.989368934951749
Co-Hg-Mg-Sr-W,final/convex_hull_e_above_hull_mean,1.2515426670610603,0.71744594312784,0.32085157980305967
Co-Hg-Mg-Sr-W,final/convex_hull_e_above_hull_min,0.14420044239161714,0.017853625752385333,0.007984384165434885
Co-Hg-Mg-Sr-W,final/convex_hull_e_above_hull_std,3.953998061665375,3.0238091464048704,1.3522885604693808
Co-Hg-Mg-Sr-W,final/convex_hull_energy_per_atom_max,19.99035292517495,17.382919345458944,7.7738778607684695
Co-Hg-Mg-Sr-W,final/convex_hull_energy_per_atom_mean,-3.8727801039556966,0.7174435823679288,0.32085052403913167
Co-Hg-Mg-Sr-W,final/convex_hull_energy_per_atom_min,-11.38883819580078,0.08285388307782225,0.03705338295236601
Co-Hg-Mg-Sr-W,final/convex_hull_energy_per_atom_std,4.820779708797848,2.342724041999861,1.0476980420869522
Co-Hg-Mg-Sr-W,final/convex_hull_formation_energy_per_atom_max,24.698149602854148,17.765189443150334,7.944834245609156
Co-Hg-Mg-Sr-W,final/convex_hull_formation_energy_per_atom_mean,1.141193220691417,0.7174469489470067,0.3208520296190656
Co-Hg-Mg-Sr-W,final/convex_hull_formation_energy_per_atom_min,-0.08850978215535475,0.022954253724465617,0.010265454340136568
Co-Hg-Mg-Sr-W,final/convex_hull_formation_energy_per_atom_std,3.958090882647272,2.999176542647494,1.3412725251765185
Co-Hg-Mg-Sr-W,final/convex_hull_stable_count,0.0,0.0,0.0
Co-Hg-Mg-Sr-W,final/convex_hull_stable_fraction,0.0,0.0,0.0
Co-Hg-Mg-Sr-W,final/discovery_curve_acceleration_factor,0.0,0.0,0.0
Co-Hg-Mg-Sr-W,final/discovery_curve_area_under_discovery_curve,0.0,0.0,0.0
Co-Hg-Mg-Sr-W,final/discovery_curve_area_under_discovery_curve_normalized,0.0,0.0,0.0
Co-Hg-Mg-Sr-W,final/discovery_curve_enhancement_factor,0.0,0.0,0.0
Co-Hg-Mg-Sr-W,final/discovery_efficiency,1.0,0.0,0.0
Co-Hg-Mg-Sr-W,final/diversity_all_composition_l1_distance_max,2.0000000000000004,0.0,0.0
Co-Hg-Mg-Sr-W,final/diversity_all_composition_l1_distance_mean,1.1353613405261855,0.0,0.0
Co-Hg-Mg-Sr-W,final/diversity_all_composition_l1_distance_min,0.37500000000000006,0.0,0.0
Co-Hg-Mg-Sr-W,final/diversity_all_composition_l1_distance_std,0.38642031167577257,0.0,0.0
Co-Hg-Mg-Sr-W,final/diversity_all_composition_l2_distance_max,1.1727371828333917,0.0,0.0
