dataset,system
quinary,Ag-Nd-Pd-Pt-Tb
quinary,Al-Hg-K-Mg-W
quinary,Al-Lu-Pt-Rb-Sm
quinary,Ca-Fe-Gd-Pb-Tb
quinary,Cd-Gd-Mn-Na-Ta
quinary,Cd-Li-Nd-Ti-W
quinary,Co-Hf-In-Ru-Tm
quinary,Co-Hg-Mg-Sr-W
quinary,Cr-Fe-Lu-Pt-Sc
quinary,Ho-In-Mg-Pd-Zr
ternary,Al-Li-V
ternary,Al-V-Zn
ternary,Au-Cr-Cs-Dy
ternary,Au-K-Tb
ternary,Ba-Be-Hf-Li
ternary,Ba-Nd-Ni-W
ternary,Ce-Er-Pb-Rh
ternary,Ce-Ir-Pt-Sn
ternary,Co-Dy-Ta-Y
ternary,Co-Dy-W
ternary,Co-Mg-Na
ternary,Co-Pd-Tl
ternary,Dy-K-Pd-Sm
ternary,Eu-Nb-Sn-Tl
ternary,Ga-Ho-Lu
ternary,Ga-Pt-Tm
ternary,Hf-Ni-Zr
ternary,Mg-Sn-Sr
