strategy,system,episode_file,history_last_new_stable,final_new_stable
llm_react_orchestrator,Au-K-Tb,/home/users/kg349/MADE_Patched/results/baselines/20260509-191151/llm_react_orchestrator_systems_ternary_n10_maxatoms20_intermetallic_smact_10systems_idx1_50queries_100stabilitymeV/systems/Au-K-Tb/trajectories/episode_000.json,17,16
chemeleon_llm_planner,Ga-Pt-Tm,/home/users/kg349/MADE_Patched/results/baselines/20260510-114026/chemeleon_llm_planner_systems_ternary_n10_maxatoms20_intermetallic_smact_10systems_idx5_50queries_100stabilitymeV/systems/Ga-Pt-Tm/trajectories/episode_003.json,21,20
chemeleon_llm_planner,Al-V-Zn,/home/users/kg349/MADE_Patched/results/baselines/20260510-120557/chemeleon_llm_planner_systems_ternary_n10_maxatoms20_intermetallic_smact_10systems_idx8_50queries_100stabilitymeV/systems/Al-V-Zn/trajectories/episode_000.json,23,21
chemeleon_llm_planner,Al-V-Zn,/home/users/kg349/MADE_Patched/results/baselines/20260510-120557/chemeleon_llm_planner_systems_ternary_n10_maxatoms20_intermetallic_smact_10systems_idx8_50queries_100stabilitymeV/systems/Al-V-Zn/trajectories/episode_001.json,22,21
chemeleon_llm_planner,Al-V-Zn,/home/users/kg349/MADE_Patched/results/baselines/20260510-120557/chemeleon_llm_planner_systems_ternary_n10_maxatoms20_intermetallic_smact_10systems_idx8_50queries_100stabilitymeV/systems/Al-V-Zn/trajectories/episode_002.json,21,20
chemeleon_llm_planner,Al-V-Zn,/home/users/kg349/MADE_Patched/results/baselines/20260510-120557/chemeleon_llm_planner_systems_ternary_n10_maxatoms20_intermetallic_smact_10systems_idx8_50queries_100stabilitymeV/systems/Al-V-Zn/trajectories/episode_003.json,27,25
chemeleon_llm_planner,Al-V-Zn,/home/users/kg349/MADE_Patched/results/baselines/20260510-120557/chemeleon_llm_planner_systems_ternary_n10_maxatoms20_intermetallic_smact_10systems_idx8_50queries_100stabilitymeV/systems/Al-V-Zn/trajectories/episode_004.json,26,25
chemeleon_llm_planner,Eu-Nb-Sn-Tl,/home/users/kg349/MADE_Patched/results/baselines/20260511-163330/chemeleon_llm_planner_systems_quaternary_n10_maxatoms20_intermetallic_smact_10systems_idx1_50queries_100stabilitymeV/systems/Eu-Nb-Sn-Tl/trajectories/episode_002.json,8,7
chemeleon_llm_planner,Ce-Ir-Pt-Sn,/home/users/kg349/MADE_Patched/results/baselines/20260511-163331/chemeleon_llm_planner_systems_quaternary_n10_maxatoms20_intermetallic_smact_10systems_idx8_50queries_100stabilitymeV/systems/Ce-Ir-Pt-Sn/trajectories/episode_000.json,18,17
chemeleon_llm_planner,Ce-Ir-Pt-Sn,/home/users/kg349/MADE_Patched/results/baselines/20260511-163331/chemeleon_llm_planner_systems_quaternary_n10_maxatoms20_intermetallic_smact_10systems_idx8_50queries_100stabilitymeV/systems/Ce-Ir-Pt-Sn/trajectories/episode_002.json,12,11
chemeleon_llm_planner,Ce-Ir-Pt-Sn,/home/users/kg349/MADE_Patched/results/baselines/20260511-163331/chemeleon_llm_planner_systems_quaternary_n10_maxatoms20_intermetallic_smact_10systems_idx8_50queries_100stabilitymeV/systems/Ce-Ir-Pt-Sn/trajectories/episode_004.json,19,18
llm_react_orchestrator,Dy-K-Pd-Sm,/home/users/kg349/MADE_Patched/results/baselines/20260511-163643/llm_react_orchestrator_systems_quaternary_n10_maxatoms20_intermetallic_smact_10systems_idx3_50queries_100stabilitymeV/systems/Dy-K-Pd-Sm/trajectories/episode_003.json,19,18
llm_react_orchestrator,Au-Tb-V-Y,/home/users/kg349/MADE_Patched/results/baselines/20260511-163645/llm_react_orchestrator_systems_quaternary_n10_maxatoms20_intermetallic_smact_10systems_idx7_50queries_100stabilitymeV/systems/Au-Tb-V-Y/trajectories/episode_004.json,28,27
llm_react_orchestrator,Ce-Ir-Pt-Sn,/home/users/kg349/MADE_Patched/results/baselines/20260511-163645/llm_react_orchestrator_systems_quaternary_n10_maxatoms20_intermetallic_smact_10systems_idx8_50queries_100stabilitymeV/systems/Ce-Ir-Pt-Sn/trajectories/episode_001.json,24,21
llm_react_orchestrator,Co-Hf-In-Ru-Tm,/home/users/kg349/MADE_Patched/results/baselines/20260511-222904/llm_react_orchestrator_systems_quinary_n10_maxatoms20_intermetallic_smact_10systems_idx7_50queries_100stabilitymeV/systems/Co-Hf-In-Ru-Tm/trajectories/episode_001.json,12,10
chemeleon_diversity_planner_comp,Al-Li-V,/home/users/kg349/MADE_Patched/results/baselines/20260514-162251/chemeleon_diversity_planner_comp_systems_ternary_n10_maxatoms20_intermetallic_smact_10systems_idx7_50queries_100stabilitymeV/systems/Al-Li-V/trajectories/episode_000.json,12,11
chemeleon_diversity_planner_comp,Al-Li-V,/home/users/kg349/MADE_Patched/results/baselines/20260514-162251/chemeleon_diversity_planner_comp_systems_ternary_n10_maxatoms20_intermetallic_smact_10systems_idx7_50queries_100stabilitymeV/systems/Al-Li-V/trajectories/episode_001.json,12,11
